idFornitore;ragioneSociale;partitaIva;telefono;email;prodotto;prezzoUnitario;scontoPercentuale;tempoConsegnaGiorni
94;Stoppini srl;IT63344455566;026334445;info@stoppini.it;Candele;0.95;25;5
95;Rivetti srl;IT64455566677;011644555;info@rivetti.it;Rivetti;0.03;40;3
96;Targhe srl;IT65566677788;051655666;info@targhe.it;Targhette Alluminio;2.40;5;7
97;Schiume srl;IT66677788899;026667778;info@schiume.it;Poliuretano Spray;6.50;15;4
98;Spine srl;IT67788899900;044467788;info@spine.it;Spine Cilindriche;0.15;20;5
99;Boccole srl;IT68899900011;011688999;info@boccole.it;Boccole Bronzo;4.20;10;8
100;Fine Lista;IT69900011122;026990001;info@finelista.it;Tappi Plastica;0.08;50;2
100;Fine Lista;IT69900011122;026990001;info@finelista.it;Tappi Plastica;0.010;50;2
100;Fine Lista;IT69900011122;026990001;info@finelista.it;Tappi Plastica;0.018;50;2
100;Fine Lista;IT69900011122;026990001;info@finelista.it;Tappi Plastica;0.028;50;2
